"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","资产规模","总发行量","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅"
"1226","XMHQ","INVESCO EXCHANGE TRADED FD TR S&P MIDCAP QUALITY ETF","72.810","0.000","0.00%","-0.54%","-9.19%","-8.92%","0.000","0.000","0","0","63953","4682925","72.670","72.810","73.670","72.520","1.36","-0.54","1.58","1.24","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3.44亿","4700000","-3.59%","-5.29%","-0.05%","-7.60%","-5.22%"
"1227","SCCB","SACHEM CAPITAL CORP 7.125% NOTES DUE 30/06/2024","25.240","0.000","0.00%","0.00%","1.39%","1.95%","0.000","0.000","0","0","1800","45421","25.220","25.240","25.240","25.200","0.00","0.00","0.16","0.30","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","-0.24%","0.04%","1.27%","3.06%","5.76%"
"1228","PDEV","PRINCIPAL EXCHANGE-TRADED FDS PRIN INTL MULTI FACTOR CORE INDEX ETF","31.060","0.000","0.00%","0.00%","-0.81%","18.97%","0.000","0.000","0","0","0","0","0.000","31.060","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","620.00万","200000","-0.77%","-1.02%","0.65%","0.03%","19.36%"
"1229","BSML","INVESCO EXCHANGE TRADED SELF IDX FT BULLETSHARES 2021 MUN BD ETF","25.195","0.000","0.00%","0.00%","-0.13%","-0.23%","0.000","0.000","0","0","0","0","0.000","25.195","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4030.08万","1600000","-0.06%","-0.14%","-0.06%","-0.23%","-0.20%"
"1230","FJNK","Pacific Global Focused High Yield ETF","25.515","0.000","0.00%","0.00%","0.73%","2.52%","0.000","0.000","0","0","0","0","0.000","25.515","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2540.00万","1000000","-0.00%","-0.14%","-0.33%","1.76%","8.65%"
"1231","KDFI","KFA DYNAMIC FIXED INCOME ETF","20.895","0.000","0.00%","0.00%","-2.85%","0.48%","0.000","0.000","0","0","0","0","0.000","20.895","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","210.00万","100000","0.46%","-0.66%","-0.84%","-1.85%","1.54%"
"1232","MJO","MICROSECTORS CANNABIS 2X LEVERAGED ETNS","81.164","0.000","0.00%","0.00%","-1.44%","2.85%","0.000","0.000","0","0","0","0","0.000","81.164","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1590.00万","200000","5.57%","5.36%","-1.27%","-19.63%","2.00%"
"1233","MJJ","MICROSECTORS CANNABIS ETNS","73.205","0.000","0.00%","0.00%","0.37%","8.16%","0.000","0.000","0","0","0","0","0.000","73.205","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4290.00万","600000","2.88%","2.77%","-0.41%","-8.80%","8.46%"
"1234","RPAR","RPAR RISK PARITY ETF","23.000","0.000","0.00%","0.11%","-6.34%","-7.76%","0.000","0.000","0","0","247322","5685230","23.010","23.000","23.029","22.880","0.37","0.04","0.65","0.84","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","15.59亿","67700000","-3.08%","-2.68%","-3.01%","-6.21%","1.97%"
"1235","DWUS","ADVISORSHARES TRUST DORSEY WRIGHT FSM US CORE ETF","37.703","0.000","0.00%","0.00%","-6.04%","-7.88%","0.000","0.000","0","0","1","38","37.703","37.703","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","9440.00万","2500000","-1.59%","-0.86%","7.09%","-2.10%","3.64%"
"1236","JMPNL","JMP GROUP INC 7.25% SR NOTES 15/11/2027 USD25","25.120","0.000","0.00%","0.00%","0.27%","10.44%","0.000","0.000","0","0","0","0","0.000","25.120","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","-0.04%","0.00%","-1.80%","3.06%","18.54%"
"1237","SSUS","DAY HAGAN NED DAVIS RESEARCH SMART SECTOR ETF","35.340","0.000","0.00%","0.01%","-4.54%","-5.08%","0.000","0.000","0","0","41520","1470138","35.330","35.340","35.535","35.250","0.30","0.05","0.81","0.18","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4.93亿","14000000","-0.95%","-1.26%","2.02%","1.04%","11.10%"
"1238","ESNG","DIREXION MSCI USA ESG - LEADERS VS. LAGGARDS ETF","70.010","0.000","0.00%","0.00%","5.14%","22.63%","0.000","0.000","0","0","0","0","0.000","70.010","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","530.00万","100000","-0.33%","-2.36%","1.34%","14.01%","34.56%"
"1239","FLYT","DIREXION FLIGHT TO SAFETY STRATEGY ETF","49.009","0.000","0.00%","0.00%","1.65%","-2.99%","0.000","0.000","0","0","0","0","0.000","49.009","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1350.00万","300000","-0.19%","-2.99%","-2.51%","-0.57%","-0.26%"
"1240","QMJ","DIREXION S&P 500 HIGH MINUS LOW QUALITY ETF","68.445","0.000","0.00%","0.00%","4.00%","18.86%","0.000","0.000","0","0","0","0","0.000","68.445","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","520.00万","100000","-0.77%","-2.73%","-2.54%","16.59%","32.08%"
"1241","IBTB","ISHARES IBONDS DEC 2022 TERM TREASURY ETF","25.340","0.000","0.00%","0.00%","-0.19%","-0.23%","0.000","0.000","0","0","266","6742","25.346","25.340","25.346","25.340","0.02","-0.02","0.02","0.02","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4310.01万","1700000","0.00%","0.01%","-0.05%","-0.29%","-0.26%"
"1242","IBTA","ISHARES IBONDS DEC 2021 TERM TREASURY ETF","25.350","0.000","0.00%","0.00%","-0.02%","0.02%","0.000","0.000","0","0","0","0","0.000","25.350","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4440.06万","1800000","0.00%","0.02%","0.04%","0.00%","0.03%"
"1243","STMB","ISHARES FACTORS US MID BLEND STYLE ETF","44.870","0.000","0.00%","0.00%","3.73%","21.58%","0.000","0.000","0","0","0","0","0.000","44.870","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","900.00万","200000","-0.35%","0.23%","1.62%","15.46%","46.20%"
"1244","STSB","ISHARES FACTORS US SMALL BLEND STYLE ETF","47.635","0.000","0.00%","0.00%","-2.10%","18.11%","0.000","0.000","0","0","0","0","0.000","47.635","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","950.00万","200000","-1.45%","-2.32%","-1.04%","2.93%","46.84%"
"1245","STLC","ISHARES FACTORS US BLEND STYLE ETF","42.345","0.000","0.00%","0.00%","6.24%","19.82%","0.000","0.000","0","0","0","0","0.000","42.345","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","850.00万","200000","-0.65%","0.15%","1.06%","17.06%","36.44%"
"1246","TAAG","Trend Aggregation Growth ETF","20.949","0.000","0.00%","0.00%","-2.64%","-1.14%","0.000","0.000","0","0","0","0","0.000","20.949","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","200.00万","100000","0.47%","4.40%","1.23%","-3.81%","5.96%"
"1247","TADS","TREND AGGREGATION DIVIDEND STOCK ETF","0.389","0.000","0.00%","0.00%","22.10%","17.47%","0.000","0.000","0","0","0","0","0.000","0.389","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","30.00万","800000","17.47%","18.95%","16.86%","21.67%","30.86%"
"1248","TAEQ","TREND AGGREGATION U.S. ETF","26.972","0.000","0.00%","0.00%","-2.01%","3.50%","0.000","0.000","0","0","0","0","0.000","26.972","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","340.00万","100000","-1.35%","-2.59%","-1.57%","1.21%","10.40%"
"1249","TEGS","TREND AGGREGATION ESG ETF","7.260","0.000","0.00%","0.00%","0.76%","0.00%","0.000","0.000","0","0","0","0","0.000","7.260","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","40.00万","100000","0.00%","-0.64%","-1.38%","-0.37%","5.19%"
"1250","SGOV","ISHARES 0-3 MONTH TREASURY BOND ETF","100.030","0.000","0.00%","0.00%","0.04%","0.04%","0.000","0.000","0","0","215970","21603173","100.030","100.030","100.030","100.020","1.09","0.00","0.01","0.92","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","19.90亿","19900000","0.00%","0.02%","0.02%","0.04%","0.06%"
"1251","DYHG","DIREXION DYNAMIC HEDGE ETF","61.243","0.000","0.00%","0.00%","4.51%","-2.12%","0.000","0.000","0","0","0","0","0.000","61.243","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","620.00万","100000","-0.69%","-2.12%","-0.05%","5.79%","17.09%"
"1252","HIPR","DIREXION HIGH GROWTH ETF","71.252","0.000","0.00%","0.00%","6.11%","21.31%","0.000","0.000","0","0","0","0","0.000","71.252","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","890.00万","100000","-0.16%","-1.75%","2.38%","18.09%","36.13%"
"1253","CEFA","GLOBAL X S&P CATHOLIC VALUES DEVELOPED EX-U.S. ETF","28.780","0.000","0.00%","0.00%","-10.05%","-9.19%","0.000","0.000","0","0","2","58","28.970","28.780","28.970","28.970","0.00","0.00","0.00","0.02","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","550.00万","200000","-1.27%","-1.67%","4.73%","-10.83%","-7.16%"
"1254","SPQQ","SIREN LARGE CAP BLEND INDEX ETF","28.040","0.000","0.00%","0.00%","-16.61%","-16.66%","0.000","0.000","0","0","0","0","0.000","28.040","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","160.00万","100000","-3.85%","-3.34%","-10.56%","-14.21%","-1.61%"
"1255","IBBJ","DEFIANCE NASDAQ JUNIOR BIOTECHNOLOGY ETF","29.870","0.000","0.00%","0.00%","-3.15%","-13.27%","0.000","0.000","0","0","0","0","0.000","29.870","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","750.00万","300000","0.00%","-0.10%","-0.98%","-8.40%","-7.26%"
"1256","CCON","DIREXION CONNECTED CONSUMER ETF","53.032","0.000","0.00%","0.00%","-10.68%","-11.20%","0.000","0.000","0","0","0","0","0.000","53.032","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","660.00万","100000","-2.26%","-4.71%","0.67%","-10.54%","5.23%"
"1257","TACE","TREND AGGREGATION CONSERVATIVE ETF","25.590","0.000","0.00%","0.00%","0.34%","4.44%","0.000","0.000","0","0","0","0","0.000","25.590","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1600.02万","600000","-0.47%","-0.68%","-0.10%","2.71%","3.08%"
"1258","NVMZ","TRUESHARES STRUCTURED OUTCOME (NOVEMBER) ETF","31.631","0.000","0.00%","0.00%","7.55%","14.66%","0.000","0.000","0","0","0","0","0.000","31.631","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","320.00万","100000","0.79%","0.45%","1.26%","10.31%","26.42%"
"1259","VTRN","VICTORYSHARES TOP VETERAN EMPLOYERS ETF","30.562","0.000","0.00%","0.00%","-0.17%","17.01%","0.000","0.000","0","0","0","0","0.000","30.562","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","160.00万","100000","0.62%","-0.11%","-3.47%","4.43%","0.00%"
"1260","SULR","SMARTETFS SUSTAINABLE ENERGY II ETF","32.864","0.000","0.00%","0.00%","3.86%","11.21%","0.000","0.000","0","0","0","0","0.000","32.864","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","590.00万","200000","1.25%","1.56%","-0.45%","3.37%","7.49%"
"1261","DEFN","PROTECTIVE ALLOCATION ETF","24.678","0.000","0.00%","0.00%","-0.56%","-0.06%","0.000","0.000","0","0","0","0","0.000","24.678","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","390.00万","200000","1.36%","1.76%","3.14%","2.51%","-0.00%"
"1262","IHYF","Invesco High Yield Bond Factor ETF","24.100","0.000","0.00%","0.00%","-3.27%","-3.98%","0.000","0.000","0","0","1","24","23.850","24.100","23.850","23.850","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3980.04万","1700000","0.23%","0.63%","0.66%","-3.73%","-2.00%"
"1263","CBTG","CABOT GROWTH ETF","14.754","0.000","0.00%","0.00%","-28.11%","-15.61%","0.000","0.000","0","0","0","0","0.000","14.754","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","770.00万","500000","-0.31%","-1.62%","-15.55%","-44.20%","-48.14%"
"1264","PSFF","PACER SWAN SOS FUND OF FUNDS ETF","22.420","0.000","0.00%","-0.27%","-1.72%","-1.65%","0.000","0.000","0","0","13498","303749","22.502","22.420","22.560","22.420","0.29","-0.27","0.62","0.54","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.02亿","4600000","-0.58%","-0.66%","3.94%","0.45%","4.41%"
"1265","SHLD","VICTORYSHARES PROTECT AMERICA ETF","31.370","0.000","0.00%","0.00%","1.66%","-54.40%","0.000","0.000","0","0","0","0","0.000","31.370","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","160.00万","100000","2.20%","1.61%","2.71%","0.40%","-54.40%"
"1266","SUBZ","ROUNDHILL STREAMING SERVICES & TECHNOLOGY ETF","7.430","0.000","0.00%","0.00%","-14.61%","-17.91%","0.000","0.000","0","0","0","0","0.000","7.430","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1310.04万","1800000","-0.40%","-0.65%","8.05%","-28.88%","-42.27%"
"1267","MVP","ROUNDHILL MVP ETF","12.325","0.000","0.00%","0.00%","-5.16%","-6.41%","0.000","0.000","0","0","0","0","0.000","12.325","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","399.99万","300000","-0.44%","0.64%","6.23%","-12.50%","-15.18%"
"1268","VUSB","VANGUARD ULTRA-SHORT BOND ETF","49.300","0.000","0.00%","0.01%","-1.11%","-1.18%","0.000","0.000","0","0","337124","16618951","49.300","49.300","49.310","49.290","0.69","0.03","0.04","0.42","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","24.03亿","48800000","-0.09%","-0.09%","-0.26%","-1.35%","-1.16%"
"1269","LGBT","LGBTQ + ESG100 ETF","26.960","0.000","0.00%","0.00%","-4.19%","-5.56%","0.000","0.000","0","0","64","1718","26.950","26.960","26.950","26.950","0.06","0.00","0.00","0.04","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","270.00万","100000","0.00%","0.63%","5.92%","-0.04%","8.20%"
"1270","GLDB","STRATEGY SHARES GOLD-HEDGED BOND ETF","23.220","0.000","0.00%","0.52%","-2.25%","-4.31%","0.000","0.000","0","0","389","9001","23.100","23.220","23.220","23.100","0.20","0.52","0.52","0.92","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","400.00万","200000","-1.09%","-1.78%","-4.69%","-0.85%","-5.65%"
"1271","FATT","FAT TAIL RISK ETF","22.714","0.000","0.00%","0.00%","-4.08%","-4.92%","0.000","0.000","0","0","0","0","0.000","22.714","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","110.00万","100000","-2.27%","-4.44%","-4.09%","-8.23%","-8.19%"
"1272","QTR","GLOBAL X NASDAQ 100 TAIL RISK ETF","23.000","0.000","0.00%","0.00%","-6.22%","-10.82%","0.000","0.000","0","0","75","1681","22.319","23.000","0.000","0.000","0.04","0.00","0.00","0.06","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","430.00万","200000","-1.54%","2.28%","4.03%","-5.68%","-7.12%"
"1273","SUNY","LIFEGOAL VACATION INVESTMENT ETF","9.555","0.000","0.00%","0.00%","-2.28%","-1.89%","0.000","0.000","0","0","0","0","0.000","9.555","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","50.00万","100000","-0.56%","0.06%","-0.96%","-2.50%","-2.50%"
"1274","CHLD","LIFEGOAL CHILDREN INVESTMENT ETF","9.565","0.000","0.00%","0.00%","-2.38%","-2.41%","0.000","0.000","0","0","0","0","0.000","9.565","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","50.00万","100000","-0.62%","0.05%","-1.30%","-2.72%","-2.72%"
"1275","UBND","VICTORYSHARES ESG CORE PLUS BOND ETF","24.016","0.000","0.00%","0.00%","-2.31%","-3.60%","0.000","0.000","0","0","0","0","22.975","24.016","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2.08亿","9000000","0.00%","0.00%","0.00%","-3.48%","12.29%"
"1276","UCRD","VICTORYSHARES ESG CORPORATE BOND ETF","23.018","0.000","0.00%","0.00%","-5.13%","-7.63%","0.000","0.000","0","0","1","22","22.220","23.018","0.000","0.000","0.00","0.00","0.00","0.33","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.12亿","5000000","0.00%","0.00%","-4.34%","-6.68%","-6.94%"
"1277","MDCP","VICTORYSHARES THB MID CAP ESG ETF","23.500","0.000","0.00%","0.00%","-8.12%","-13.41%","0.000","0.000","0","0","0","0","23.535","23.500","0.000","0.000","0.00","0.00","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","240.00万","100000","-2.37%","-2.96%","1.90%","-5.68%","-0.51%"
"1278","USBF","ISHARES USD BOND FACTOR ETF","93.075","0.000","0.00%","0.00%","-6.45%","-6.32%","0.000","0.000","0","0","1","91","90.918","93.075","0.000","0.000","0.00","0.00","0.00","2.50","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1830.00万","200000","0.00%","-2.20%","-2.20%","-6.70%","-6.70%"
"1279","ZGEN","THE GENERATION Z ETF","18.310","0.000","0.00%","0.00%","-19.33%","-27.14%","0.000","0.000","0","0","37","666","18.450","18.310","18.450","18.450","0.02","0.00","0.00","0.03","0.00%","19.220","0.000","4.97%","0.00%","19.22","0","0.00","0.00","+0.910","0.000","390.00万","200000","-4.44%","-1.93%","8.04%","-27.57%","-27.57%"
"1280","PABU","ISHARES PARIS-ALIGNED CLIMATE MSCI USA ETF","51.199","0.000","0.00%","0.00%","0.12%","0.12%","0.000","0.000","0","0","14","700","50.120","51.199","50.120","50.120","0.00","0.00","0.00","0.47","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6.30亿","12600000","0.00%","0.00%","0.12%","0.12%","0.12%"
"1281","DSTX","DISTILLATE INTERNATIONAL FUNDAMENTAL STABILITY & VALUE ETF","23.709","-0.000","-0.00%","0.00%","-8.59%","-7.59%","0.000","0.000","0","0","107","2541","23.750","23.709","23.750","23.709","0.01","-0.17","0.17","0.09","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2489.96万","1100000","-1.87%","-1.63%","3.55%","-7.13%","-10.16%"
"1282","XRMI","Global X S&P 500 Risk Managed Income ETF","25.310","-0.001","-0.00%","0.00%","-2.78%","-2.65%","0.000","0.000","0","0","22668","574199","25.289","25.310","25.350","25.289","2.52","0.04","0.24","2.07","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2220.03万","900000","0.12%","0.29%","4.43%","-1.59%","-0.88%"
"1283","JJT","iPath DJ-UBS Tin Subindex Total Return ETN","131.778","-0.007","-0.00%","-0.30%","5.35%","12.63%","0.000","0.000","0","0","991","130642","131.672","131.784","132.170","131.672","0.33","-0.30","0.38","0.76","0.00%","134.090","0.000","1.75%","0.00%","134.09","0","0.00","0.00","+2.305","0.000","3920.01万","300000","-2.84%","3.16%","-0.58%","17.11%","81.10%"
"1284","KBWR","Invesco KBW Regional Banking ETF","58.103","-0.003","-0.01%","0.00%","-15.07%","-7.29%","0.000","0.000","0","0","6544","381391","58.252","58.106","58.754","58.040","0.47","0.00","1.23","0.72","0.00%","58.105","0.000","0.00%","0.00%","522.954","0","0.00","0.00","0.000","0.000","8429.96万","1400000","-4.59%","-8.65%","-7.31%","-6.73%","-3.45%"
"1285","BILS","SPDR BLOOMBERG BARCLAYS 3-12 MONTH T-BILL ETF","99.825","-0.005","-0.01%","0.00%","-0.15%","-0.18%","0.000","0.000","0","0","762","76069","99.825","99.830","99.840","99.825","0.25","0.00","0.02","1.11","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2499.99万","300000","-0.01%","-0.01%","-0.05%","-0.20%","-0.25%"
"1286","SHV","美国短期国债ETF-iShares","110.200","-0.010","-0.01%","0.00%","-0.16%","-0.18%","0.000","0.000","0","0","3354314","369633929","110.200","110.210","110.200","110.190","2.11","0.00","0.01","1.11","0.00%","110.190","110.200","-0.02%","0.00%","31402.59","2203910.2","0.07","0.01","-0.020","0.000","174.91亿","158800000","-0.01%","-0.01%","-0.06%","-0.21%","-0.27%"
"1287","ACWF","iShares MSCI Global Multifactor ETF","36.531","-0.004","-0.01%","-0.31%","-6.89%","-6.77%","0.000","0.000","0","0","4196","153685","36.545","36.534","36.725","36.475","0.12","-0.31","0.68","0.85","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.31亿","3600000","-1.30%","-1.81%","4.36%","-2.20%","-0.27%"
"1288","JAAA","JANUS HENDERSON AAA CLO ETF","50.310","-0.005","-0.01%","0.00%","-0.02%","0.10%","0.000","0.000","0","0","998129","50215198","50.390","50.315","50.390","50.280","4.09","0.00","0.22","2.13","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","12.26亿","24400000","0.46%","0.61%","0.61%","0.27%","0.73%"
"1289","SHUS","SYNTAX STRATIFIED U.S. TOTAL MARKET HEDGED ETF","40.305","-0.004","-0.01%","0.00%","-2.49%","-2.65%","0.000","0.000","0","0","9","364","40.305","40.309","40.305","40.305","0.00","-0.01","0.00","0.00","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4620.00万","1200000","-0.26%","-0.19%","1.90%","0.12%","0.99%"
"1290","BIL","美国国债1-3月ETF-SPDR","91.410","-0.010","-0.01%","-0.01%","-0.01%","-0.02%","0.000","0.000","0","0","4726233","432066451","91.410","91.420","91.420","91.410","3.15","-0.01","0.01","1.94","0.00%","91.420","91.400","0.00%","-0.01%","91.42","59429461.4","0.00","0.03","0.000","-0.010","137.07亿","149900000","-0.02%","0.00%","0.00%","-0.03%","-0.09%"
"1291","GSY","古根海姆短期加强ETF","49.805","-0.005","-0.01%","-0.01%","-0.74%","-0.86%","0.000","0.000","0","0","530609","26431825","49.810","49.810","49.830","49.800","1.05","0.01","0.06","1.10","0.00%","49.810","0.000","0.00%","0.00%","49.81","0","0.00","0.00","0.000","0.000","25.26亿","50700000","0.03%","-0.05%","-0.20%","-0.99%","-0.85%"
"1292","RDMX","SPDR BLOOMBERG SASB DEVELOPED MARKETS EX US ESG SELECT ETF","26.833","-0.003","-0.01%","0.00%","-8.33%","-7.45%","0.000","0.000","0","0","90","2410","26.833","26.835","26.833","26.833","0.01","-0.01","0.00","1.09","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2680.00万","1000000","-1.76%","-1.16%","5.67%","-7.45%","-7.45%"
"1293","EUSA","iShares MSCI USA Equal Weighted ETF","83.980","-0.010","-0.01%","-0.13%","-4.63%","-5.83%","0.000","0.000","0","0","9962","837749","83.780","83.990","84.500","83.598","0.18","-0.13","1.07","0.74","0.00%","0.000","83.990","0.00%","0.01%","0","41995","0.00","0.00","0.000","+0.010","4.69亿","5600000","-1.40%","-0.91%","6.21%","-3.08%","5.61%"
"1294","MSVX","LHA MARKET STATE ALPHA SEEKER ETF","25.826","-0.003","-0.01%","0.08%","0.68%","3.30%","0.000","0.000","0","0","6739","174049","25.830","25.829","25.900","25.791","0.42","0.08","0.42","0.81","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","4070.08万","1600000","0.16%","-0.25%","2.38%","3.18%","-0.42%"
"1295","EQWL","Invesco S&P 100 Equal Weight ETF","82.622","-0.011","-0.01%","0.00%","-4.96%","-3.85%","0.000","0.000","0","0","3407","281902","82.488","82.633","83.120","82.488","0.21","-0.24","0.76","1.32","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.28亿","1600000","-0.85%","-0.99%","4.72%","0.71%","9.15%"
