"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"26","BMY","施贵宝","68.420","+0.290","0.43%","12817401","876925743","151868106452.7","0.000","0.000","0","0","67.770","68.130","68.730","67.705","0.84","0.00%","1.50","21.929","0.58","-0.16","-0.26%","-1.00%","1.97%","1.91%","16.88%","13.49%","15.08%","10.70%","药品制造商-通用"
"27","PLD","安博","151.080","+0.600","0.40%","1988450","298208514","111697523160","0.000","0.000","0","0","148.990","150.480","151.540","147.780","0.79","0.00%","2.50","38.345","0.27","-0.28","-0.16%","1.00%","5.41%","-2.76%","-6.21%","16.58%","49.95%","-10.26%","REIT-工业"
"28","SCHW","嘉信理财","79.650","+0.260","0.33%","5030951","398156734","150850287535.5","0.000","0.000","0","0","78.130","79.390","79.830","77.710","0.72","0.00%","2.67","28.144","0.32","-0.19","-0.13%","-1.31%","-3.18%","-15.55%","0.55%","13.59%","21.20%","-5.09%","资本市场"
"29","VZ","Verizon","53.230","+0.150","0.28%","17501823","930054477","223459540000","0.000","0.000","0","0","53.000","53.080","53.340","52.780","0.63","0.00%","1.06","10.005","0.42","-0.04","-0.08%","-2.62%","1.22%","-0.50%","7.14%","0.43%","0.14%","3.68%","电信业务"
"30","TTE","道达尔","50.790","+0.120","0.24%","3122571","157634989","132062806122.57","0.000","0.000","0","0","50.280","50.670","50.966","50.085","0.59","0.00%","1.74","8.579","0.13","-0.20","-0.11%","-0.27%","-4.49%","-15.39%","4.51%","15.65%","10.09%","2.69%","油气一体化"
"31","HD","家得宝","317.940","+0.740","0.23%","3895211","1222877312","332005403935.38","0.000","0.000","0","0","314.360","317.200","318.260","308.751","0.89","0.00%","3.00","20.472","0.37","-0.16","-0.02%","-1.39%","2.11%","-12.22%","-21.07%","-4.32%","16.50%","-22.93%","家居装修零售"
"32","TM","丰田汽车","164.430","+0.380","0.23%","392732","64299832","227221556618.7","0.000","0.000","0","0","165.380","164.050","165.380","162.520","0.82","0.00%","1.74","11.466","0.04","-0.05","0.04%","-6.62%","-9.77%","-18.34%","-6.64%","-9.13%","7.54%","-11.26%","汽车制造商"
"33","ABBV","艾伯维公司","149.170","+0.330","0.22%","4635711","690901571","263845008671.93","0.000","0.000","0","0","148.070","148.840","149.750","147.700","0.67","0.00%","1.38","23.127","0.26","-0.19","-0.04%","-0.82%","2.68%","4.17%","19.14%","41.60%","41.60%","11.31%","药品制造商-通用"
"34","UPS","UPS快递","207.180","+0.400","0.19%","2284340","470612221","180327690873.54","0.000","0.000","0","0","204.495","206.780","207.370","203.860","0.68","0.00%","1.70","14.113","0.32","-0.15","-0.02%","-2.47%","-0.00%","-7.28%","1.15%","10.36%","30.25%","-2.64%","综合货运物流"
"35","JNJ","强生","169.660","+0.300","0.18%","6171649","1044595523","446081635686.2801","0.000","0.000","0","0","168.560","169.360","170.150","168.075","0.67","0.00%","1.23","21.723","0.23","-0.19","-0.19%","0.70%","7.28%","-0.43%","1.37%","4.32%","8.45%","-0.19%","药品制造商-通用"
