"序号","代码","名称","最新价","涨跌额","涨跌幅","60日涨跌幅","年初至今涨跌幅","成交量","成交额","今开","换手率%","市盈率","总市值","总股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","昨收","最高","最低"
"133","BK2637","北方信托银行持仓","1217.792","-7.712","-0.63%","-5.97%","-6.92%","1043323454","190072951522","1223.705","0.65","24.967","29603069531661.301","166685809762","-1.92%","-1.89%","6.92%","0.22%","5.43%","1225.504","1227.895","1215.631"
"134","BK2623","东方汇理持仓","1216.414","-7.730","-0.63%","-5.73%","-6.46%","774946267","134682056468","1222.060","0.53","24.090","27010489066073.328","152001051642","-2.07%","-2.12%","6.95%","0.26%","6.68%","1224.144","1226.599","1214.156"
"135","BK2625","景顺持仓","1190.589","-7.733","-0.65%","-6.72%","-7.34%","964848021","146465386869","1196.290","0.65","23.324","26735996054539.68","157498005742","-2.23%","-2.29%","6.88%","0.41%","2.24%","1198.322","1200.755","1188.020"
"136","BK2098","通信设备","1715.234","-11.178","-0.65%","-13.30%","-14.89%","85944611","2234428536","1728.126","0.53","21.824","463184640328.601","18394129034","-4.08%","-3.27%","0.69%","-7.33%","-1.93%","1726.412","1732.061","1708.946"
"137","BK2631","保德信金融集团持仓","1209.680","-7.957","-0.65%","-5.69%","-6.53%","1064255815","194353230706","1215.379","0.70","25.108","28456878969555.273","157587694968","-1.94%","-1.82%","6.98%","-0.68%","5.69%","1217.637","1219.924","1207.765"
"138","BK2628","纽文持仓","1203.474","-8.010","-0.66%","-6.13%","-7.27%","900813861","152189073848","1209.436","0.61","24.705","28469633505037.609","155146508092","-2.04%","-1.97%","7.00%","1.75%","4.60%","1211.484","1213.784","1201.490"
"139","BK2633","汇丰持仓","1185.453","-7.942","-0.67%","-6.50%","-7.45%","1189300650","218347715670","1191.386","0.75","24.284","29311641708880.078","166058274248","-2.02%","-1.94%","7.20%","-2.03%","3.61%","1193.395","1195.638","1183.665"
"140","BK2500","综合货运物流","1586.401","-10.701","-0.67%","-13.82%","-14.92%","24471408","2528114888","1600.122","1.11","13.825","306525990555.49","2848010386","-6.67%","-10.65%","-5.28%","-9.93%","-11.79%","1597.102","1600.122","1559.863"
"141","BK2598","纽约梅隆银行持仓","1219.731","-8.285","-0.67%","-6.43%","-7.17%","1039044096","191702195341","1226.018","0.64","25.182","30032899456065.152","170370088022","-2.02%","-2.09%","6.64%","-1.39%","5.12%","1228.016","1230.105","1217.862"
"142","BK2458","公用事业-受管制的水","1564.280","-10.931","-0.69%","4.27%","-4.42%","5848854","261073428","1570.853","0.46","31.686","80157026963.52","1710627771","-1.06%","5.10%","11.48%","3.11%","8.75%","1575.211","1583.643","1561.320"
"143","BK2535","瑞士信贷持仓","2244.132","-15.898","-0.70%","-7.05%","-8.07%","1211106734","214665176092","2256.052","0.75","25.395","29535479313737.957","168872743187","-2.08%","-2.00%","7.00%","-3.06%","6.52%","2260.030","2263.450","2241.061"
"144","BK2634","三井住友金融信托持仓","1208.202","-8.635","-0.71%","-6.38%","-7.66%","1020916746","157755392372","1214.759","0.67","24.305","28289347732808.312","160423613487","-2.13%","-2.03%","7.05%","-2.98%","3.17%","1216.837","1218.699","1206.213"
"145","BK2263","住宿","1461.183","-10.876","-0.74%","-5.43%","-6.81%","6710340","661278147","1467.226","0.55","-22.734","144240321915.83","1899854791","-5.33%","-4.53%","1.98%","-5.34%","-3.92%","1472.059","1477.203","1451.935"
"146","BK2638","富国银行持仓","1186.390","-8.942","-0.75%","-5.35%","-6.85%","916218619","198507328615","1193.455","0.71","28.386","26870573914128.113","133711081864","-2.09%","-1.88%","7.01%","-0.54%","3.26%","1195.332","1196.387","1184.793"
"147","BK2622","摩根大通持仓","1220.811","-9.222","-0.75%","-6.64%","-7.24%","922355454","197080227606","1228.270","0.76","27.328","25576971864491.68","125341029391","-2.25%","-2.41%","7.05%","1.18%","3.80%","1230.033","1231.335","1219.155"
"148","BK2033","工程建设","1783.847","-13.573","-0.76%","-6.17%","-9.76%","18162956","1117548555","1798.022","0.66","45.297","166796522274.835","3248855066","-2.53%","-3.10%","1.74%","-23.99%","-18.65%","1797.420","1809.382","1781.661"
"149","BK2632","瑞银集团持仓","1178.721","-8.969","-0.76%","-5.95%","-6.83%","1010159192","206865353426","1185.728","0.69","28.209","28488540500912.359","151609948431","-2.29%","-2.12%","6.70%","-1.83%","2.86%","1187.690","1189.003","1177.110"
"150","BK2430","铀","3058.448","-23.591","-0.77%","24.92%","35.24%","48908168","412323378","3081.827","2.06","-291.822","20798093522.71","2461623093","6.09%","5.28%","8.89%","8.87%","77.54%","3082.039","3111.984","3002.470"
"151","BK2463","专业工业机械","1475.988","-11.632","-0.78%","-13.64%","-14.09%","48485451","4221300077","1486.592","0.60","41.154","802917146435.01","9147939147","-3.57%","-4.30%","0.29%","-10.91%","-10.14%","1487.620","1495.210","1474.140"
"152","BK2621","高盛持仓","1209.645","-9.560","-0.78%","-6.86%","-7.83%","1141863203","218172579862","1217.142","0.81","28.448","28286036525621.559","149236273104","-2.27%","-2.05%","7.29%","-3.29%","2.73%","1219.205","1220.445","1208.001"
"153","BK2566","资本集团","1569.834","-12.449","-0.79%","-7.37%","-9.45%","644461304","94535359473","1580.528","0.64","27.487","20297964335677.02","108001749559","-2.25%","-2.05%","6.82%","-5.41%","5.61%","1582.283","1583.776","1567.214"
"154","BK2493","电气设备及零件","1550.108","-12.304","-0.79%","-15.04%","-17.86%","49397604","1048951630","1566.007","1.03","28.514","147650422461.82","6098410521","-5.05%","-6.74%","-0.61%","-14.34%","-8.06%","1562.412","1574.481","1548.564"
"155","BK2596","富兰克林邓普顿基金持仓","1068.857","-8.494","-0.79%","-5.65%","-7.08%","704459777","134829617428","1075.477","0.52","26.788","26643420545219.992","142027546553","-2.02%","-1.62%","7.44%","2.73%","2.19%","1077.351","1078.389","1067.403"
"156","BK2626","威灵顿管理持仓","1231.250","-9.851","-0.79%","-5.42%","-6.64%","753580507","135989002266","1239.310","0.57","26.849","25853542515284.422","137599747217","-2.16%","-1.93%","7.32%","1.36%","9.11%","1241.101","1241.999","1229.383"
