"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"67","EDTK","王道科技","1.240","0.81%","67163","1.230","3.875","18476000","7315876","-0.40%","-2.36%","-8.15%","20.39%","-8.82%","-55.23%","31.19%","教育及培训服务"
"68","MKD","摩贝","0.174","0.81%","1216266","0.174","亏损","31776137.132","22151965.086","-14.84%","-14.75%","12.85%","-18.78%","-55.04%","-81.51%","-20.23%","化学品"
"69","AEHL","Antelope Enterprise","1.360","0.74%","226610","1.360","亏损","8070854.72","5530797.68","1.49%","12.40%","24.77%","-17.17%","-51.94%","-57.37%","-14.47%","建筑产品和设备"
"70","ZIJMY","紫金矿业(ADR)","32.480","0.71%","13414.24","32.480","42.402","42758803077.76","42758803077.76","-2.99%","0.84%","7.80%","36.18%","23.03%","25.90%","26.83%","-"
"71","ZCMD","众巢医学","1.420","0.71%","21606","1.432","7.759","33513519.4","15414100","4.41%","1.43%","35.24%","-23.24%","-14.46%","-22.83%","-20.22%","卫生信息服务"
"72","WDH","水滴","1.460","0.69%","106562","1.420","亏损","575649035.06","245090801.52","-3.95%","-1.35%","28.07%","4.29%","-28.78%","-87.83%","5.80%","保险-综合性"
"73","SHI","上石化","20.780","0.68%","417024","20.210","7.020","2249188445.3","1043138337","-1.14%","2.52%","5.91%","-13.36%","-14.42%","-11.81%","-8.66%","油气炼制与营销"
"74","PME","平潭海洋公司","0.619","0.67%","50849","0.610","亏损","53197457.335","25634065.759","-4.02%","-13.72%","-15.19%","7.09%","-16.43%","-38.71%","7.71%","农产品"
"75","MTC","海川证券","0.606","0.62%","20125","0.602","亏损","15215259.36","4796028.432","-3.86%","-4.54%","19.92%","-5.36%","-53.76%","-68.78%","-8.24%","软件 - 应用"
"76","SIMO","慧荣科技","71.990","0.57%","76246404","71.940","12.607","2514262484.37","2135275232.8","9.21%","3.82%","5.26%","-21.60%","6.81%","10.93%","-23.77%","半导体"
"77","DADA","达达集团","8.860","0.57%","7142204","8.740","亏损","2055025062.68","454466984.12","-11.22%","-3.70%","25.67%","-28.08%","-59.96%","-64.42%","-32.67%","互联网零售"
"78","STG","尚德机构","5.500","0.55%","91811","5.600","2.152","73357592","13356409","25.28%","-2.48%","-5.98%","-12.63%","20.35%","-53.78%","11.11%","教育及培训服务"
"79","PDD","拼多多","42.600","0.54%","572062074","42.390","50.117","53390102922.6","22500062362.8","-0.12%","-3.71%","32.59%","-29.45%","-56.08%","-67.88%","-26.93%","互联网零售"
"80","ZNH","南方航空","28.450","0.49%","119075","28.970","亏损","9643666513.7","2918557247.4","-5.86%","-3.10%","3.01%","-8.37%","-8.23%","-19.63%","-4.08%","航空公司"
"81","SDH","师董会","2.050","0.49%","21460","1.942","4.158","50282400","23352507.35","0.90%","12.02%","81.42%","72.27%","-7.66%","-35.13%","76.72%","咨询服务"
"82","DXF","敦信金融","0.653","0.43%","16400","0.644","4.412","13636176.15","2561035.641","-3.80%","-2.51%","5.51%","-37.20%","-55.87%","-51.26%","-38.39%","信贷服务"
"83","SPI","阳光动力","2.660","0.38%","1526268","2.690","亏损","70162242.78","47018785.1","-6.34%","-5.67%","-11.92%","-23.12%","-45.60%","-60.71%","-26.32%","太阳能"
"84","FAMI","农米良品","0.138","0.36%","2615422","0.137","6.875","82194802.662","80888552.662","-7.78%","-11.86%","-3.98%","-43.85%","-59.85%","-86.90%","-38.17%","包装食品"
"85","CIH","中指控股","1.064","0.34%","8241","1.060","2.157","96175224.854","57662543.263","2.27%","-3.31%","13.15%","1.30%","-29.56%","-51.21%","9.65%","软件 - 应用"
"86","BON","天美生物","3.250","0.31%","122521","3.200","5.898","27138738.25","10347070.5","-1.81%","-3.27%","-15.14%","-10.71%","-45.19%","-35.00%","-26.97%","包装食品"
"87","MDJH","明大嘉和","2.086","0.29%","63171","2.073","104.300","24354500.576","2963951.508","-0.67%","-1.14%","9.79%","15.89%","-48.31%","-57.43%","17.19%","房地产服务"
"88","EVK","华瑞国际","1.785","0.28%","8893","1.800","8.113","26439976.92","7112461.02","-2.46%","0.00%","27.05%","-29.72%","-32.89%","-24.68%","-27.73%","服装制造"
"89","FINV","信也科技","3.900","0.26%","1264000","3.900","2.936","1118357292","523255301.4","-3.70%","-2.74%","26.62%","-19.42%","-33.22%","-38.78%","-20.89%","信贷服务"
"90","CGA","中国绿色农业","10.193","0.25%","134543","10.050","亏损","86512704.871","66606431.483","-2.93%","-1.80%","9.95%","16.36%","-5.09%","-3.84%","7.29%","农业投入"
"91","YSG","逸仙电商","0.752","0.23%","1181849","0.740","亏损","475029623.408","110368853.936","9.81%","1.29%","11.16%","-59.13%","-76.86%","-93.26%","-65.02%","专业零售"
"92","PBTS","宏桥高科","0.318","0.19%","166320","0.313","亏损","24459578.334","17304003.708","-9.19%","-17.10%","4.88%","-31.72%","-67.32%","-85.61%","-39.16%","软件 - 应用"
"93","PUYI","普益集团","5.530","0.18%","5397","5.510","亏损","333540158.28","41422354.4","-3.83%","-3.15%","-10.81%","-13.19%","-7.83%","38.25%","-16.84%","资产管理"
